year,category,prize_amount,fullname,gender,birth_continent,birth_country
1901,Physiology or Medicine,150782,Emil Adolf von Behring,male,Europe,Prussia
1901,Peace,150782,Frédéric Passy,male,Europe,France
1901,Peace,150782,Jean Henry Dunant,male,Europe,Switzerland
1901,Chemistry,150782,Jacobus Henricus van 't Hoff,male,Europe,the Netherlands
1901,Literature,150782,Sully Prudhomme,male,Europe,France
1901,Physics,150782,Wilhelm Conrad Röntgen,male,Europe,Prussia
1902,Peace,141847,Charles Albert Gobat,male,Europe,Switzerland
1902,Peace,141847,_lie Ducommun,male,Europe,Switzerland
1902,Chemistry,141847,Hermann Emil Fischer,male,Europe,Prussia
1902,Physics,141847,Hendrik Antoon Lorentz,male,Europe,the Netherlands
1902,Physics,141847,Pieter Zeeman,male,Europe,the Netherlands
1902,Physiology or Medicine,141847,Ronald Ross,male,Asia,India
1902,Literature,141847,Christian Matthias Theodor Mommsen,male,Europe,Schleswig
1903,Literature,141358,Bjørnstjerne Martinus Bjørnson,male,Europe,Norway
1903,Physics,141358,Antoine Henri Becquerel,male,Europe,France
1903,Physics,141358,"Marie Curie, née Sklodowska",female,Europe,Russian Empire
1903,Physiology or Medicine,141358,Niels Ryberg Finsen,male,Europe,Faroe Islands (Denmark)
1903,Physics,141358,Pierre Curie,male,Europe,France
1903,Peace,141358,William Randal Cremer,male,Europe,United Kingdom
1903,Chemistry,141358,Svante August Arrhenius,male,Europe,Sweden
1904,Literature,140859,Frédéric Mistral,male,Europe,France
1904,Peace,140859,,,,
1904,Physiology or Medicine,140859,Ivan Petrovich Pavlov,male,Europe,Russia
1904,Literature,140859,José Echegaray y Eizaguirre,male,Europe,Spain
1904,Physics,140859,Lord Rayleigh (John William Strutt),male,Europe,United Kingdom
1904,Chemistry,140859,Sir William Ramsay,male,Europe,Scotland
1905,Chemistry,138089,Johann Friedrich Wilhelm Adolf von Baeyer,male,Europe,Prussia
1905,Peace,138089,"Baroness Bertha Sophie Felicita von Suttner, née Countess Kinsky von Chinic und Tettau",female,Europe,Austrian Empire
1905,Literature,138089,Henryk Sienkiewicz,male,Europe,Poland
1905,Physics,138089,Philipp Eduard Anton von Lenard,male,Europe,Hungary
1905,Physiology or Medicine,138089,Robert Koch,male,Europe,Germany
1906,Physiology or Medicine,138536,Camillo Golgi,male,Europe,Italy
1906,Literature,138536,Giosuè Carducci,male,Europe,Tuscany
1906,Chemistry,138536,Henri Moissan,male,Europe,France
1906,Physics,138536,Joseph John Thomson,male,Europe,United Kingdom
1906,Physiology or Medicine,138536,Santiago Ramón y Cajal,male,Europe,Spain
1906,Peace,138536,Theodore Roosevelt Jr,male,North America,USA
1907,Physics,138796,Albert Abraham Michelson,male,Europe,Prussia
1907,Physiology or Medicine,138796,Charles Louis Alphonse Laveran,male,Europe,France
1907,Chemistry,138796,Eduard Buchner,male,Europe,Bavaria
1907,Peace,138796,Ernesto Teodoro Moneta,male,Europe,Austrian Empire
1907,Peace,138796,Louis Renault,male,Europe,France
1907,Literature,138796,Rudyard Kipling,male,Asia,British India
1908,Chemistry,139800,Ernest Rutherford,male,Oceania,New Zealand
1908,Peace,139800,Fredrik Bajer,male,Europe,Denmark
1908,Physics,139800,Gabriel Lippmann,male,Europe,Luxembourg
1908,Physiology or Medicine,139800,Ilya Ilyich Mechnikov,male,Europe,Russian Empire
1908,Peace,139800,Klas Pontus Arnoldson,male,Europe,Sweden
1908,Physiology or Medicine,139800,Paul Ehrlich,male,Europe,Prussia
1908,Literature,139800,Rudolf Christoph Eucken,male,Europe,East Friesland
1909,Peace,139800,Auguste Marie François Beernaert,male,Europe,Belgium
1909,Physics,139800,Karl Ferdinand Braun,male,Europe,Hesse-Kassel
1909,Physics,139800,Guglielmo Marconi,male,Europe,Italy
1909,Peace,139800,"Paul Henri Benjamin Balluet d'Estournelles de Constant, Baron de Constant de Rebecque",male,Europe,France
1909,Literature,139800,Selma Ottilia Lovisa Lagerlöf,female,Europe,Sweden
1909,Physiology or Medicine,139800,Emil Theodor Kocher,male,Europe,Switzerland
1909,Chemistry,139800,Wilhelm Ostwald,male,Europe,Russian Empire
1910,Physiology or Medicine,140703,Albrecht Kossel,male,Europe,Mecklenburg
1910,Physics,140703,Johannes Diderik van der Waals,male,Europe,the Netherlands
1910,Chemistry,140703,Otto Wallach,male,Europe,Germany
1910,Literature,140703,Paul Johann Ludwig Heyse,male,Europe,Prussia
1910,Peace,140703,,,,
1911,Peace,140695,Alfred Hermann Fried,male,Europe,Austria
1911,Physiology or Medicine,140695,Allvar Gullstrand,male,Europe,Sweden
1911,Literature,140695,Count Maurice (Mooris) Polidore Marie Bernhard Maeterlinck,male,Europe,Belgium
1911,Peace,140695,Tobias Michael Carel Asser,male,Europe,the Netherlands
1911,Physics,140695,Wilhelm Wien,male,Europe,Prussia
1911,Chemistry,140695,"Marie Curie, née Sklodowska",female,Europe,Russian Empire
1912,Physiology or Medicine,140476,Alexis Carrel,male,Europe,France
1912,Peace,140476,Elihu Root,male,North America,USA
1912,Literature,140476,Gerhart Johann Robert Hauptmann,male,Europe,Prussia
1912,Physics,140476,Nils Gustaf Dalén,male,Europe,Sweden
1912,Chemistry,140476,Paul Sabatier,male,Europe,France
1912,Chemistry,140476,Victor Grignard,male,Europe,France
1913,Chemistry,143010,Alfred Werner,male,Europe,France
1913,Physiology or Medicine,143010,Charles Robert Richet,male,Europe,France
1913,Physics,143010,Heike Kamerlingh Onnes,male,Europe,the Netherlands
1913,Peace,143010,Henri La Fontaine,male,Europe,Belgium
1913,Literature,143010,Rabindranath Tagore,male,Asia,India
1914,Physics,146900,Max von Laue,male,Europe,Germany
1914,Physiology or Medicine,146900,Robert Bárány,male,Europe,Austria
1914,Chemistry,146900,Theodore William Richards,male,North America,USA
1915,Physics,149223,William Lawrence Bragg,male,Oceania,Australia
1915,Chemistry,149223,Richard Martin Willstätter,male,Europe,Germany
1915,Literature,149223,Romain Rolland,male,Europe,France
1915,Physics,149223,Sir William Henry Bragg,male,Europe,United Kingdom
1916,Literature,131793,Carl Gustaf Verner von Heidenstam,male,Europe,Sweden
1917,Physics,133823,Charles Glover Barkla,male,Europe,United Kingdom
1917,Literature,133823,Henrik Pontoppidan,male,Europe,Denmark
1917,Peace,133823,,,,
